# epoch, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc, 
0.000000, 107.038965, 0.621447, 0.687094, 0.827856, 0.699735, 0.758423, 0.678528, 4.229148, 0.698031, 0.211538, 0.000000, 0.000000, nan, 0.500000
1.000000, 100.341132, 0.485031, 0.792015, 0.841026, 0.867725, 0.854167, 0.740716, 4.053296, 0.718859, 0.211538, 0.000000, 0.000000, nan, 0.500000
2.000000, 106.508877, 0.435467, 0.815228, 0.862159, 0.876984, 0.869508, 0.773383, 3.815615, 0.752799, 0.211538, 0.000000, 0.000000, nan, 0.500000
3.000000, 94.408562, 0.401638, 0.828227, 0.873203, 0.883598, 0.878370, 0.790709, 3.750254, 0.804576, 0.211538, 0.000000, 0.000000, nan, 0.500000
4.000000, 93.412994, 0.361024, 0.859796, 0.892348, 0.910053, 0.901113, 0.825743, 3.716606, 0.879539, 0.211538, 0.000000, 0.000000, nan, 0.500000
5.000000, 95.727827, 0.334238, 0.863510, 0.885932, 0.924603, 0.904854, 0.822115, 3.894977, 1.004941, 0.211538, 0.000000, 0.000000, nan, 0.500000
6.000000, 93.993790, 0.312927, 0.884865, 0.913613, 0.923280, 0.918421, 0.858837, 3.859898, 1.101267, 0.211538, 0.000000, 0.000000, nan, 0.500000
7.000000, 91.654877, 0.286078, 0.887651, 0.911803, 0.929894, 0.920760, 0.859028, 3.407385, 1.139935, 0.211538, 0.000000, 0.000000, nan, 0.500000
8.000000, 95.272680, 0.269360, 0.893222, 0.913548, 0.936508, 0.924886, 0.863893, 3.670545, 1.188851, 0.211538, 0.000000, 0.000000, nan, 0.500000
9.000000, 103.345700, 0.245803, 0.910864, 0.927461, 0.947090, 0.937173, 0.886318, 3.635731, 1.218177, 0.211538, 0.000000, 0.000000, nan, 0.500000
10.000000, 100.359990, 0.238025, 0.909006, 0.927273, 0.944444, 0.935780, 0.884995, 3.714504, 1.276611, 0.211538, 0.000000, 0.000000, nan, 0.500000
# test, 5.492133140563965, 0.69637126, 0.3106796, 0.0, 0.0, nan, 0.5, 
